Tarih,Şehir,Bölge,Kategori,Ürün,Adet,Birim Fiyat,Satış,Müşteri Tipi
2024-06-20,Antalya,Akdeniz,Gıda,Blender,6,1800,10800,Bireysel
2024-06-22,İzmir,Ege,Elektronik,Laptop,4,18700,74800,Kurumsal
2024-06-24,İstanbul,Marmara,Giyim,Mont,15,920,13800,Bireysel
2024-06-27,Ankara,İç Anadolu,Elektronik,Tablet,8,7100,56800,Kurumsal
2024-06-29,Bursa,Marmara,Elektronik,Telefon,2,15000,30000,Bireysel
2024-07-01,İstanbul,Marmara,Gıda,Kahve Makinesi,12,4200,50400,Kurumsal
2024-07-03,Antalya,Akdeniz,Elektronik,Kulaklık,14,1250,17500,Bireysel
2024-07-05,İzmir,Ege,Giyim,Elbise,22,640,14080,Bireysel
2024-07-08,İstanbul,Marmara,Elektronik,Laptop,7,18900,132300,Kurumsal
2024-07-10,Ankara,İç Anadolu,Gıda,Blender,11,1750,19250,Bireysel
2024-07-12,Bursa,Marmara,Elektronik,Tablet,6,7300,43800,Kurumsal
2024-07-15,İstanbul,Marmara,Elektronik,Telefon,12,14900,178800,Kurumsal
2024-07-17,Antalya,Akdeniz,Giyim,Mont,8,940,7520,Bireysel
2024-07-19,İzmir,Ege,Elektronik,Laptop,5,19000,95000,Kurumsal
2024-07-22,İstanbul,Marmara,Gıda,Blender,13,1800,23400,Kurumsal
2024-07-24,Ankara,İç Anadolu,Elektronik,Kulaklık,16,1280,20480,Kurumsal
2024-07-26,Bursa,Marmara,Giyim,Elbise,24,650,15600,Bireysel
2024-07-29,İstanbul,Marmara,Elektronik,Tablet,11,7500,82500,Kurumsal
2024-07-31,Antalya,Akdeniz,Elektronik,Telefon,3,15400,46200,Bireysel
2024-08-02,İzmir,Ege,Gıda,Kahve Makinesi,7,4300,30100,Bireysel
2024-08-05,İstanbul,Marmara,Elektronik,Laptop,9,18600,167400,Kurumsal
2024-08-07,Ankara,İç Anadolu,Giyim,Mont,10,900,9000,Bireysel
2024-08-09,Bursa,Marmara,Elektronik,Kulaklık,10,1300,13000,Bireysel
2024-08-12,İstanbul,Marmara,Gıda,Blender,15,1800,27000,Kurumsal
2024-08-14,Antalya,Akdeniz,Elektronik,Tablet,8,7200,57600,Bireysel
2024-08-16,İzmir,Ege,Elektronik,Telefon,5,15100,75500,Kurumsal
2024-08-19,İstanbul,Marmara,Giyim,Elbise,28,670,18760,Bireysel
2024-08-21,Ankara,İç Anadolu,Elektronik,Laptop,3,19200,57600,Kurumsal
2024-08-23,Bursa,Marmara,Gıda,Kahve Makinesi,4,4200,16800,Bireysel
